index,asset_nm,ct_cl,genre_of_ct_cl,SMRY,ACTR_DISP,disp_rtm,category_l,category_h,series_nm,clean_asset_nm,image
46,런닝맨 663회,TV 연예/오락,기타,"조선판 꾼과 함께. 어느 옛 조선에는 이름난 노름꾼들이 있었으니~ 조선 팔도에서 모인 꾼들이 크게 한 판 벌여 보려는데! 머리가 약하면 몸으로, 그것도 안되면 도술로! 승자는 부자가, 패자는 노비가 되는 시대! 돌아온 타짜들과 조선을 뒤흔들 한 판이 시작된다!","유재석,지석진,김종국,하하,송지효,양세찬,전소민",5580.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
47,런닝맨 664회,TV 연예/오락,기타,유재석의 문화유산답사기. 수학여행 감성 가득한 추억 흠뻑 여행! 시간 체크는 필수! 하루를 꽉 채운 경주 투어. 한 시도 말을 쉬지 않는 유박사의 역사 특강. 통제 불가 학생들과 진땀 빼는 고난도 여행. 그리고 이어진 학업 성취도 평가! 여섯 학생들의 놀라운 학습 결과는?,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5520.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
48,런닝맨 665회,TV 연예/오락,기타,여름방학 편 - 런닝맨이 또 떴다. 4주간 진행되는 런떴 여름방학 프로젝트! 패밀리와 함께라면 어떤 과제라도 든든! 사랑이 가득 담긴 진흙탕 더티 플레이부터 이번에도 역시나 순탄치 않은 식사까지! 대환장 하루 커밍 쑨!,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5580.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
49,런닝맨 666회,TV 연예/오락,기타,여름방학 편 - 런닝맨이 떴다(하). 못 볼 꼴 되어가는 진흙탕 개싸움. 교환권이 뭐길래! 집에서도 이어지는 교환권 강탈 전쟁. 자나 깨나 도둑 조심! 그리고 새벽 밭일을 건 마지막 혈투! 무조건 양보하고 싶은 새벽 기상의 주인공은?,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5580.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
50,런닝맨 667회,TV 연예/오락,기타,여름방학 어촌편 - 런닝맨이 떴다. 다음날까지도 예측 불허한 이들의 하루. 금일봉을 가져갈 최후의 승자는? 그리고! 바다로 떠난 두 번째 여름방학! 흠뻑 빠져드는 바닷속 여행. 그러나 누군가는 최악의 새벽 벌칙을 받게 된다! 벌칙을 떠넘기기 위한 암흑 속 전쟁의 결말은?,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5580.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
51,런닝맨 668회,TV 연예/오락,기타,여름방학 어촌편 - 런닝맨이 떴다(중). 점점 다가오는 공포의 문어잡이 벌칙! 빗발치는 외출 요구! 이들이 서로 경계하는 이유는 순식간에 일어난 통발 조작 사기극 때문! 심지어 무단 외식까지?! 그러나 꾹 형사의 촉에 걸려들고 마는데! 범죄와의 전쟁에서 살아남을 사람은?,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5520.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
52,런닝맨 669회,TV 연예/오락,기타,한여름밤의 명탐정. 런닝 탐정사무소 개업합니다! 게스트 강훈과 함께 이들이 해결해야 할 사건! 의문의 아웃 사건 진짜 범인을 밝혀내야 한다!,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5580.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
53,런닝맨 670회,TV 연예/오락,기타,한여름 밤의 명탐정. 지난주에 이어 탐정단이 맡은 두 개의 의뢰. 셰어하우스 아웃 사건. 교도소 아웃 사건. 엇갈리는 알리바이 속 진짜 범인을 찾아라! 하지만 힌트는 쉽게 허락되지 않는다! 탐정의 자질을 시험할 극한의 공포! 두려움에 맞서는 자가 정답에 가까워진다!,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5520.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
54,메가샤크,영화,액션/어드벤쳐,.. 메가 샤크의 인간 사냥이 시작된다!,뤄리친,4680.0,액션/어드벤쳐,영화,,메가샤크,
55,인피니트 스톰,영화,공포/스릴러,"뉴햄프셔주 페미제와셋의 구조대원 팸. 그녀는 거센 눈보라가 몰아치는 가파른 산길을 오르던 중 운동화 자국을 발견한다. 조난자를 찾아 헤매다 깊은 구덩이에 빠지지만 두 딸을 생각하며 겨우 탈출하고, 추위에 정신이 몽롱해질 때쯤 고립된 한 남자를 마주하게 된다.","나오미 왓츠,빌리 하울",5880.0,공포/스릴러,영화,,인피니트 스톰,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/hcw81K1CWvg48Lyx318WGbqNdlA.jpg
56,트랜스포머: 비스트의 서막,영화,액션/어드벤쳐," 우주의 행성을 집어삼키는 절대자, 유니크론의 부하. 스커지는 테러콘들을 이끌고 지구에 당도한다. 그에 맞서기 위해 지구에 정체를 숨기고 있던 트랜스포머 오토봇 군단이 모습을 드러내고 또 다른 트랜스포머 진영인 맥시멀과 힘을 합친다.","안토니 라모스,도미니크 피시백,피터 딘클리지,양자경,존 디마지오,데이빗 소보로프,MJ 로드리게스",7620.0,액션/어드벤쳐,영화,,트랜스포머: 비스트의 서막,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/chUZNPNd7EiETSB4xBGykXhuXRr.jpg
57,롱 플레이스,영화,액션/어드벤쳐,마약 딜러에게 위협받는 딸과 가족을 지키기 위해 반격을 시작하는 전직 경찰서장 프랭크의 이야기를 다룬 액션 영화.,"브루스 윌리스 ,애슐리 그린",5760.0,액션/어드벤쳐,영화,,롱 플레이스,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/sznqETELPeYmiTNM0FgYxFrX7to.jpg
58,메가로돈 2,영화,액션/어드벤쳐,"지구 역사상 가장 거대한 최상위 포식자, 메가로돈과 목숨 건 사투 끝에 살아남은 다이버, 조나스는 해양 연구소의 팀원들과 함께 심해 탐사에 나서던 중 예기치 못한 사고로 해저 7,620m에 고립되고 만다. 그곳에서 그들은 더욱 거대해진 메가로돈 무리와 마주하게 되는데...","제이슨 스타뎀,오경,채서아,클리프 커티스,페이지 케네디,세르지오 페리스-멘체타,스카일러 사무엘스",6900.0,액션/어드벤쳐,영화,,메가로돈 2,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/cbAHK6Vrt0GClMRUxH8TsgC2JqL.jpg
59,스파이 코드명 포춘,영화,액션/어드벤쳐,"전 세계 검은 무기 거래 왕, 슈퍼 빌런 그렉. 그가 정체를 파악조차 불가능한 핸들을 거래한다는 첩보 내용이 입수된다. 모든 것이 완벽한 업계 최고의 스파이 포춘! 일생일대의 위험한 임무에 나서게 되는데...","제이슨 스타뎀,휴 그랜트,조쉬 하트넷",6840.0,액션/어드벤쳐,영화,,스파이 코드명 포춘,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/5QXoAgO905YGucMJmeDb4CmjEUT.jpg
